file,start_frame,end_frame,label,height_drop
DS1_4falls,120,129,1,0.76
DS1_4falls,357,366,1,0.5
DS1_4falls,360,369,1,0.55
DS1_4falls,378,387,0,-0.2
DS1_4falls,390,399,0,-0.04
DS1_4falls,414,423,0,-0.08
DS1_4falls,450,459,0,-0.11
DS1_4falls,588,597,1,0.56
DS1_4falls,591,600,1,0.58
DS1_4falls,693,702,0,0.21
DS1_4falls,798,807,0,0.04
DS1_4falls,810,819,0,0.18
DS1_4falls,906,915,1,0.69
DS1_4falls,909,918,1,0.87
DS1_4falls,912,921,1,0.55
DS1_4falls,1026,1035,0,-0.01
DS1_4falls,1053,1062,0,-0.11
DS1_4falls,1065,1074,0,-0.09
DS1_4normal,30,39,0,-0.03
DS1_4normal,66,75,0,-0.07
DS1_4normal,168,177,0,-0.16
DS1_4normal,240,249,0,-0.37
DS1_4normal,327,336,0,0.17
DS1_4normal,354,363,0,0.47
DS1_4normal,366,375,0,-0.22
DS1_4normal,435,444,0,-0.25
DS1_4normal,465,474,0,-0.25
DS1_4normal,522,531,0,0.08
DS1_4normal,864,873,0,-0.03
DS2_b_01,102,111,0,-0.04
DS2_b_01,171,180,0,0.0
DS2_b_01,486,495,0,0.1
DS2_b_01,513,522,0,0.19
DS2_b_01,645,654,0,0.08
DS2_b_01,711,720,0,-0.04
DS2_b_01,861,870,0,0.1
DS2_b_01,957,966,0,0.02
DS2_b_01,990,999,0,-0.01
DS2_b_01,1017,1026,0,-0.01
DS2_b_01,1056,1065,0,0.32
DS2_b_01,1158,1167,0,-0.02
DS2_b_01,1233,1242,0,-0.54
DS2_b_01,1308,1317,0,0.05
DS2_b_01,1329,1338,0,-0.09
DS2_b_01,1353,1362,0,0.01
DS2_b_01,1893,1902,0,0.03
DS2_b_01,1923,1932,0,0.04
DS2_b_01,1968,1977,0,-0.02
DS2_b_01,2088,2097,0,-0.29
DS2_b_01,2142,2151,0,0.02
DS2_b_01,2367,2376,0,0.13
DS2_b_01,2436,2445,0,-0.0
DS2_b_01,2544,2553,0,0.1
DS2_b_01,2556,2565,0,0.03
DS2_b_01,2643,2652,0,0.11
DS2_b_01,2667,2676,0,-0.07
DS2_b_01,2679,2688,0,0.11
DS2_b_01,3318,3327,0,0.2
DS2_b_01,3381,3390,0,0.08
DS2_b_01,3675,3684,0,0.01
DS2_b_01,4059,4068,0,-0.16
DS2_b_01,4137,4146,0,0.1
DS2_b_01,4155,4164,0,0.12
DS2_b_01,4200,4209,0,-0.06
DS2_b_01,4464,4473,0,0.02
DS2_b_01,4500,4509,0,-0.38
DS2_b_01,4512,4521,0,0.06
DS2_b_01,4662,4671,0,0.01
DS2_b_01,4773,4782,0,-0.16
DS2_b_01,4872,4881,0,0.01
DS2_b_01,5034,5043,0,0.28
DS2_b_01,5079,5088,0,0.02
DS2_b_01,5217,5226,0,-0.07
DS2_b_01,5253,5262,0,-0.18
DS2_b_01,5313,5322,0,0.23
DS2_b_01,5337,5346,0,-0.06
DS2_b_01,5409,5418,0,0.25
DS2_b_01,5526,5535,0,-0.03
DS2_b_01,5814,5823,0,-0.01
DS2_b_01,6000,6009,0,-0.17
DS2_b_01,6171,6180,0,-0.08
DS2_b_01,6297,6306,0,0.03
DS2_b_01,6306,6315,0,-0.05
DS2_b_01,6408,6417,0,-0.33
DS2_b_01,6465,6474,0,-0.14
DS2_b_01,6468,6477,0,0.03
DS2_b_01,6645,6654,0,0.16
DS2_b_01,6864,6873,0,0.03
DS2_b_01,6867,6876,0,-0.5
