file,category,start_frame,end_frame,label
DS1_4falls,ADL,6,15,0
DS1_4falls,ADL,38,47,0
DS1_4falls,Fall,120,129,1
DS1_4falls,Fall,122,131,1
DS1_4falls,ADL,180,189,0
DS1_4falls,ADL,202,211,0
DS1_4falls,ADL,206,215,0
DS1_4falls,ADL,208,217,0
DS1_4falls,ADL,250,259,0
DS1_4falls,ADL,258,267,0
DS1_4falls,ADL,302,311,0
DS1_4falls,ADL,304,313,0
DS1_4falls,ADL,342,351,0
DS1_4falls,Fall,360,369,1
DS1_4falls,ADL,398,407,0
DS1_4falls,ADL,508,517,0
DS1_4falls,ADL,514,523,0
DS1_4falls,ADL,574,583,0
DS1_4falls,ADL,586,595,0
DS1_4falls,Fall,588,597,1
DS1_4falls,Fall,590,599,1
DS1_4falls,Fall,592,601,1
DS1_4falls,ADL,594,603,0
DS1_4falls,ADL,620,629,0
DS1_4falls,ADL,656,665,0
DS1_4falls,ADL,714,723,0
DS1_4falls,ADL,726,735,0
DS1_4falls,ADL,798,807,0
DS1_4falls,ADL,876,885,0
DS1_4falls,Fall,906,915,1
DS1_4falls,Fall,908,917,1
DS1_4falls,Fall,910,919,1
DS1_4falls,Fall,912,921,1
DS1_4falls,ADL,948,957,0
DS1_4falls,ADL,980,989,0
DS1_4falls,ADL,1000,1009,0
DS2_b_01,ADL,6,15,0
DS2_b_01,ADL,102,111,0
DS2_b_01,ADL,288,297,0
DS2_b_01,ADL,418,427,0
DS2_b_01,ADL,458,467,0
DS2_b_01,ADL,474,483,0
DS2_b_01,ADL,484,493,0
DS2_b_01,ADL,490,499,0
DS2_b_01,ADL,520,529,0
DS2_b_01,ADL,608,617,0
DS2_b_01,ADL,742,751,0
DS2_b_01,ADL,832,841,0
DS2_b_01,ADL,1030,1039,0
DS2_b_01,ADL,1038,1047,0
DS2_b_01,ADL,1086,1095,0
DS2_b_01,ADL,1130,1139,0
DS2_b_01,ADL,1160,1169,0
DS2_b_01,ADL,1232,1241,0
DS2_b_01,ADL,1264,1273,0
DS2_b_01,ADL,1318,1327,0
DS2_b_01,ADL,1438,1447,0
DS2_b_01,ADL,1444,1453,0
DS2_b_01,ADL,1470,1479,0
DS2_b_01,ADL,1490,1499,0
DS2_b_01,ADL,1512,1521,0
DS2_b_01,ADL,1540,1549,0
DS2_b_01,ADL,1552,1561,0
DS2_b_01,ADL,1622,1631,0
DS2_b_01,ADL,1710,1719,0
DS2_b_01,ADL,1758,1767,0
DS2_b_01,ADL,1762,1771,0
DS2_b_01,ADL,1764,1773,0
DS2_b_01,ADL,1804,1813,0
DS2_b_01,ADL,1854,1863,0
DS2_b_01,ADL,1958,1967,0
DS2_b_01,ADL,1994,2003,0
DS2_b_01,ADL,2010,2019,0
DS2_b_01,ADL,2078,2087,0
DS2_b_01,ADL,2086,2095,0
DS2_b_01,ADL,2112,2121,0
DS2_b_01,ADL,2158,2167,0
DS2_b_01,ADL,2168,2177,0
DS2_b_01,ADL,2204,2213,0
DS2_b_01,ADL,2328,2337,0
DS2_b_01,ADL,2336,2345,0
DS2_b_01,ADL,2386,2395,0
DS2_b_01,ADL,2412,2421,0
DS2_b_01,ADL,2446,2455,0
DS2_b_01,ADL,2462,2471,0
DS2_b_01,ADL,2496,2505,0
DS2_b_01,ADL,2514,2523,0
DS2_b_01,ADL,2552,2561,0
DS2_b_01,ADL,2554,2563,0
DS2_b_01,ADL,2556,2565,0
DS2_b_01,ADL,2628,2637,0
DS2_b_01,ADL,2796,2805,0
DS2_b_01,ADL,2860,2869,0
DS2_b_01,ADL,2986,2995,0
DS2_b_01,ADL,3068,3077,0
DS2_b_01,ADL,3072,3081,0
DS2_b_01,ADL,3086,3095,0
DS2_b_01,ADL,3126,3135,0
DS2_b_01,ADL,3190,3199,0
DS2_b_01,ADL,3192,3201,0
DS2_b_01,ADL,3208,3217,0
DS2_b_01,ADL,3266,3275,0
DS2_b_01,ADL,3272,3281,0
DS2_b_01,ADL,3300,3309,0
DS2_b_01,ADL,3318,3327,0
DS2_b_01,ADL,3326,3335,0
DS2_b_01,ADL,3366,3375,0
DS2_b_01,ADL,3384,3393,0
DS2_b_01,ADL,3450,3459,0
DS2_b_01,ADL,3490,3499,0
DS2_b_01,ADL,3494,3503,0
DS2_b_01,ADL,3634,3643,0
DS2_b_01,ADL,3686,3695,0
DS2_b_01,ADL,3738,3747,0
DS2_b_01,ADL,3794,3803,0
DS2_b_01,ADL,3896,3905,0
DS2_b_01,ADL,4042,4051,0
DS2_b_01,ADL,4126,4135,0
DS2_b_01,ADL,4208,4217,0
DS2_b_01,ADL,4234,4243,0
DS2_b_01,ADL,4250,4259,0
DS2_b_01,ADL,4276,4285,0
DS2_b_01,ADL,4370,4379,0
DS2_b_01,ADL,4384,4393,0
DS2_b_01,ADL,4414,4423,0
DS2_b_01,ADL,4454,4463,0
DS2_b_01,ADL,4740,4749,0
DS2_b_01,ADL,4746,4755,0
DS2_b_01,ADL,4836,4845,0
DS2_b_01,ADL,4856,4865,0
DS2_b_01,ADL,4888,4897,0
DS2_b_01,ADL,4892,4901,0
DS2_b_01,ADL,4932,4941,0
DS2_b_01,ADL,5010,5019,0
DS2_b_01,ADL,5014,5023,0
DS2_b_01,ADL,5044,5053,0
DS2_b_01,ADL,5048,5057,0
DS2_b_01,ADL,5088,5097,0
DS2_b_01,ADL,5104,5113,0
DS2_b_01,ADL,5136,5145,0
DS2_b_01,ADL,5214,5223,0
DS2_b_01,ADL,5230,5239,0
DS2_b_01,ADL,5348,5357,0
DS2_b_01,ADL,5386,5395,0
DS2_b_01,ADL,5520,5529,0
DS2_b_01,ADL,5530,5539,0
DS2_b_01,ADL,5594,5603,0
DS2_b_01,ADL,5596,5605,0
DS2_b_01,ADL,5598,5607,0
