file,category,start_frame,end_frame,label
Areeb_back_1,Fall,0,9,1
Areeb_back_1,Fall,2,11,1
Areeb_back_1,Fall,4,13,1
Areeb_back_1,Fall,6,15,1
Areeb_back_1,Fall,8,17,1
Areeb_back_1,Fall,10,19,1
Areeb_back_1,Fall,12,21,1
Areeb_back_2,Fall,0,9,1
Areeb_back_2,Fall,2,11,1
Areeb_back_2,Fall,4,13,1
Areeb_back_2,Fall,6,15,1
Areeb_back_2,Fall,8,17,1
Areeb_back_2,Fall,10,19,1
Areeb_back_2,Fall,12,21,1
Areeb_back_3,Fall,0,9,1
Areeb_back_3,Fall,2,11,1
Areeb_back_3,Fall,4,13,1
Areeb_back_3,Fall,6,15,1
Areeb_back_3,Fall,8,17,1
Areeb_back_3,Fall,10,19,1
Areeb_back_3,Fall,12,21,1
Areeb_back_4,Fall,0,9,1
Areeb_back_4,Fall,2,11,1
Areeb_back_4,Fall,4,13,1
Areeb_back_4,Fall,6,15,1
Areeb_back_4,Fall,8,17,1
Areeb_back_4,Fall,10,19,1
Areeb_back_4,Fall,12,21,1
Areeb_back_4,Fall,14,23,1
Areeb_back_5,Fall,0,9,1
Areeb_back_5,Fall,2,11,1
Areeb_back_5,Fall,4,13,1
Areeb_back_5,Fall,6,15,1
Areeb_back_5,Fall,8,17,1
Areeb_back_5,Fall,10,19,1
Areeb_back_5,Fall,12,21,1
Areeb_back_5,Fall,14,23,1
Areeb_front_1,Fall,0,9,1
Areeb_front_1,Fall,2,11,1
Areeb_front_1,Fall,4,13,1
Areeb_front_1,Fall,6,15,1
Areeb_front_1,Fall,8,17,1
Areeb_front_1,Fall,10,19,1
Areeb_front_1,Fall,12,21,1
Areeb_front_2,Fall,0,9,1
Areeb_front_2,Fall,2,11,1
Areeb_front_2,Fall,4,13,1
Areeb_front_2,Fall,6,15,1
Areeb_front_2,Fall,8,17,1
Areeb_front_2,Fall,10,19,1
Areeb_front_2,Fall,12,21,1
Areeb_front_3,Fall,0,9,1
Areeb_front_3,Fall,2,11,1
Areeb_front_3,Fall,4,13,1
Areeb_front_3,Fall,6,15,1
Areeb_front_3,Fall,8,17,1
Areeb_front_3,Fall,10,19,1
Areeb_front_3,Fall,12,21,1
Areeb_front_3,Fall,14,23,1
Areeb_front_4,Fall,0,9,1
Areeb_front_4,Fall,2,11,1
Areeb_front_4,Fall,4,13,1
Areeb_front_4,Fall,6,15,1
Areeb_front_4,Fall,8,17,1
Areeb_front_4,Fall,10,19,1
Areeb_front_4,Fall,12,21,1
Areeb_front_5,Fall,0,9,1
Areeb_front_5,Fall,2,11,1
Areeb_front_5,Fall,4,13,1
Areeb_front_5,Fall,6,15,1
Areeb_front_5,Fall,8,17,1
Areeb_front_5,Fall,10,19,1
Areeb_front_5,Fall,12,21,1
Areeb_front_6,Fall,0,9,1
Areeb_front_6,Fall,2,11,1
Areeb_front_6,Fall,4,13,1
Areeb_front_6,Fall,6,15,1
Areeb_front_6,Fall,8,17,1
Areeb_front_6,Fall,10,19,1
Areeb_front_6,Fall,12,21,1
Areeb_front_7,Fall,0,9,1
Areeb_front_7,Fall,2,11,1
Areeb_front_7,Fall,4,13,1
Areeb_front_7,Fall,6,15,1
Areeb_front_7,Fall,8,17,1
Areeb_front_7,Fall,10,19,1
